category,title,answer
General,Apakah peserta bisa mengikuti 2 cabang berbeda?,"Boleh, peserta diperkenankan untuk mengikuti lebih dari 1 cabang lomba apabila memenuhi persyaratan tiap-tiap lomba yang diikuti."
,Apakah peserta dapat berada dalam 2 tim yang berbeda?,"Boleh namun dalam kategori lomba yang berbeda, dan perlu diperhatikan juga timeline tiap lomba yang diikuti untuk mengantisipasi bentrok waktu dan hal-hal  lainnya"
,"Apakah dalam satu institusi yang sama, boleh mengirim lebih dari satu tim?","Jawabannya sangat diperbolehkan, namun, tetap mengikuti ketentuan-ketentuan yang sudah terlampir pada guidebook masing-masing lomba"
,"Kalau sudah pernah juara, apakah masih boleh mengikuti Nesco 2025?","Boleh, dengan catatan menggunakan ide/karya baru dan memenuhi ketentuan dan aturan lomba NESCO 2025"
,Apakah boleh satu tim hanya ada 1 orang?,"Terkait jumlah orang dalam 1 tim itu bergantung pada jenis dan kategori lombanya, jadi mengenai ketentuan anggota tim lomba lebih jelasnya bisa langsung cek ke guidebook lomba yang ingin diikuti"
,Bagaimana cara mendaftar kompetisi?,Untuk mengikuti lomba/seminar NESCO bisa langsung berkunjung ke website resmi nesco lalu membaca guidebook dan melengkapi syarat&ketentuan form pendaftaran yang ada
Paper,Apakah karya yang dicantumkan boleh menggunakan bahasa inggris?,Bahasa yang digunakan harus menggunakan bahasa indonesia sesuai dengan kaidah dan ketentuan penggunaan bahasa indonesia yang formal dan baik.
,"Untuk batas minimal atau maksimal kata, itu bagaimana?",Ketentuan dan format penulisan dapat dilihat pada guidebook
,Apakah paper harus karya asli atau boleh hasil kolaborasi?,Paper yang dikumpulkan merupakan hasil pemikiran peserta yang ditunjang dengan data atau sumber publikasi yang ada
,Apakah paper harus berdasarkan penelitian asli?,Paper yang dikumpulkan merupakan hasil pemikiran peserta yang ditunjang dengan data atau sumber publikasi yang ada
,Bagaimaana teknis pelaksanaan presentasi?,Teknis pelaksanaan presentasi akan terlaksana secara offline dengan durasi waktu yang akan diumumkan saat technical meeting
,Apakah paper yang dikirimkan akan dipublikasikan?,Paper yang dikumpulkan oleh peserta untuk saat ini tidak dipublikasikan
Innovation Challenge,Apakah karya harus hasil original dari tim pengirim?,"Ya, karya harus orisinal, belum pernah diperlombakan sebelumnya, dan merupakan hasil dari tim pengirim sendiri. Pelanggaran terhadap ketentuan ini akan dikenakan sanksi sesuai yang tercantum dalam guidebook perlombaan."
,Apakah ada syarat tertentu dalam isi karya?,"Ya, terdapat ketentuan terkait struktur, tata bahasa, dan format penulisan yang harus diikuti. Detail persyaratan dapat dilihat dalam guidebook perlombaan."
,Apakah boleh mengirim karya lebih dari satu?,"Tidak, setiap tim hanya diperbolehkan mengirimkan satu karya. Selain itu, anggota yang sudah terdaftar dalam satu tim tidak diperbolehkan bergabung dengan tim lain."
,Apakah karya boleh menggunakan bahasa inggris?,"Tidak, karya harus mengikuti ketentuan bahasa yang telah ditetapkan dalam guidebook perlombaan."
,Apakah inovasi harus berupa prototipe atau cukup berupa ide?,"Inovasi cukup berupa ide yang dituangkan dalam karya tulis berbentuk esai. Namun, peserta dapat menyertakan model prototipe dalam esai untuk memperjelas konsep yang dikembangkan. Penyertaan data relevan atau elemen pendukung lainnya juga direkomendasikan untuk memperkuat esai."
,Apakah inovasi peserta akan menjadi milik panitia?,"Tidak, hak kepemilikan atas karya tetap menjadi milik peserta."
Poster,Apakah boleh mengirim lebih dari 1 poster?,1 tim hanya diperbolehkan mengirim 1 poster saja
,Apakah boleh mencantumkan karya dari perlombaan lain?,"terserah peserta, tetapi harus dilihat apakah desain nya sudah sesuai dengan subtema yang ada"
,Bagaimana spesifikasi teknis untuk posternya?,"pada babak penyisihan poster akan dinilai oleh dewan juri, desain yang menarik dan kesesuaian tema akan diunggulkan. lalu juri akan memilih 5 desain terbaik yang dapat melaju ke babak final dan akan dilakukan vote di instagram. dipilih 3 poster pemenang dan 1 juara favorit"
,Apakah jenis poster yang dibuat itu dibebaskan atau ada ketentuannya?,harus seusai dengan tema dan subtema yang ada
,Apakah asset/elemen poster harus original peserta?,harus karya peserta sendiri. jika terdapat kecurangan akan dikenakan sanksi dari panitia
,Apakah poster harus dibuat secara digital?,"ya, untuk mempermudah peserta"
,Apakah poster diperbolehkan menggunakan AI?,tidak diperkenankan menggunakan AI
,Apakah poster yang dikirimkan akan menjadi milik panitia?,"tidak, poster tetap dimiliki oleh peserta, yang menilai adalah juri"
Scientific Debate,Apa topik yang akan dibahas?,"Topik yang dibahas adalah seputar masalah energi hijau dan keberlanjutan lingkungan, sesuai dengan subtema yang ditentukan pada panduan."
,Apa format lomba debat yang digunakan?,Format lomba debat menggunakan format Asian Parliamentary (AP)
,Apakah debat ini menggunakan bahasa Indonesia?,"Iya, debat menggunakan Bahasa Indonesia"
,Apakah peserta diperbolehkan menggunakan alat bantu seperti slide presentasi?,"Mengacu pada format perlombaan, peserta tidak akan menggunakan slide presentasi, tetapi dapat menggunakan alat bantu lainnya seperti kertas dan alat tulis dan yang lebih rincinya akan dijelaskan pada panduan maupun technical meeting."